City,Country,PM2.5,PM10,NO2,O3,SO2,CO,NH3
inirida,CO,0.5,0.51,0.03,0.79,0.02,206.95,0.05
tegina,NG,7.24,9.49,0.51,15.38,0.05,507.36,0.48
kuusamo,FI,1.9,2.43,0.57,61.51,0.36,210.29,0.07
muravlenko,RU,0.86,0.88,0.24,41.13,0.02,233.65,0.0
hazleton,US,1.89,2.27,4.67,51.5,0.37,230.31,0.16
papao,PF,1.86,2.77,6.17,27.18,2.83,243.66,3.29
noyabrsk,RU,2.0,2.04,1.89,36.48,0.45,240.33,0.04
safi,MA,4.6,10.35,1.99,62.94,4.65,208.62,0.0
grand gaube,MU,1.71,4.75,2.57,55.08,2.53,260.35,0.88
cartagena,CO,5.06,6.46,2.87,67.95,0.75,327.11,0.09
lata,PT,2.35,6.9,2.96,48.64,0.76,208.62,0.42
paharpur,PK,58.84,89.37,3.77,70.81,5.36,574.11,26.35
dunedin,NZ,1.82,3.14,0.66,63.66,0.47,216.96,1.41
dalandzadgad,MN,3.09,19.86,0.12,89.41,0.32,191.93,0.04
xingcheng,CN,3.86,4.71,4.03,55.08,2.5,247.0,1.39
toliara,MG,3.96,5.72,0.42,37.55,0.13,260.35,0.87
tommot,RU,0.5,0.5,0.2,47.92,0.03,226.97,0.0
kuchera,IN,54.72,82.77,12.68,61.51,2.41,480.65,11.65
huarmey,PE,5.78,14.69,0.8,57.94,0.21,230.31,0.0
el calafate,AR,0.5,0.69,0.73,36.84,0.03,243.66,1.35
nea alikarnassos,GR,2.15,9.31,0.65,92.98,0.84,211.95,0.29
hanceville,US,3.08,8.91,7.71,23.25,0.11,260.35,10.51
belyy yar,RU,2.59,2.97,3.38,36.12,1.89,263.69,1.09
yeniseysk,RU,0.5,0.56,1.08,70.1,0.92,233.65,0.21
bushehr,IR,77.33,137.06,12.51,97.28,5.48,534.06,0.59
grand falls-windsor,CA,0.51,1.43,0.19,76.53,0.14,211.95,0.0
pierre,US,9.4,11.44,1.31,77.25,0.65,223.64,1.76
chimore,BO,18.66,18.86,0.8,0.59,0.04,654.22,0.56
fuwwah,EG,8.76,19.73,1.01,101.57,1.03,206.95,1.47
rabo de peixe,PT,1.23,5.5,0.39,94.41,0.26,198.6,0.0
nema,RU,1.14,1.17,2.29,16.99,0.05,233.65,0.14
miri,MY,4.07,4.33,3.68,61.51,0.78,467.3,0.31
port alfred,ZA,1.85,5.32,0.63,54.36,0.59,223.64,0.37
zhangatas,KZ,4.6,15.42,1.97,54.36,3.67,230.31,0.1
raja,SS,0.56,0.8,0.08,1.65,0.0,165.22,0.15
bereznik,RU,0.73,0.82,0.59,50.07,0.08,220.3,0.01
sirte,LY,7.36,26.64,0.23,107.29,0.65,205.28,0.0
smara,EH,8.48,47.66,0.13,83.69,0.22,196.93,0.0
barclayville,LR,2.36,3.21,0.32,8.32,0.11,300.41,0.49
vila velha,BR,1.83,5.34,2.83,18.95,0.92,270.37,0.38
kudymkar,RU,3.28,3.31,1.16,17.52,0.03,236.99,0.07
rawson,AR,0.93,3.53,1.48,42.56,0.13,253.68,1.57
cidreira,BR,2.21,4.28,1.08,50.78,0.17,247.0,0.4
argo,GR,2.47,4.32,0.67,66.52,0.1,205.28,0.33
kenora,CA,4.45,5.0,1.03,79.39,1.15,216.96,1.2
shendi,SD,58.64,241.35,0.27,61.51,0.67,188.59,0.18
hancheng,CN,44.16,48.49,22.96,21.64,7.87,734.33,2.34
simpang,ID,23.01,26.71,0.59,48.64,0.75,417.23,0.74
port blair,IN,0.61,0.89,1.2,44.35,0.25,230.31,0.03
nagqu,CN,2.12,3.25,0.45,80.11,0.07,161.89,4.37
arkalyk,KZ,8.08,8.49,2.74,24.32,1.25,233.65,0.02
maba,CN,47.79,51.55,11.31,98.71,8.94,343.8,0.0
ambon,ID,1.08,1.75,0.46,28.25,0.28,270.37,0.09
saint-flour,FR,0.5,0.51,0.99,43.63,0.02,186.92,0.43
yerbabuena,MX,0.88,1.22,2.42,62.23,0.46,181.91,0.94
mili,MH,0.62,1.97,0.01,45.06,0.03,190.26,0.0
trairi,BR,1.78,7.44,0.19,51.5,0.12,363.83,0.12
