City,Country,PM2.5,PM10,NO2,O3,SO2,CO,NH3,MortalityRate_per_100k
medina,SA,18.9,56.0,11.8,43.3,13.1,208.6,0.3,33.5
mega,ET,0.5,1.0,0.3,26.8,0.0,188.6,0.4,17.1
mezhdurechensk,RU,2.1,2.5,1.3,26.5,1.4,240.3,0.5,17.4
minas de marcona,PE,8.0,20.1,2.1,50.8,0.3,220.3,0.3,9.6
miri,MY,4.1,4.3,3.7,61.5,0.8,467.3,0.3,20.9
miyaly,KZ,9.8,28.9,0.3,58.6,0.3,220.3,0.0,30.5
mongoumba,CF,0.7,0.9,0.1,0.1,0.0,181.9,0.1,36.5
mossel bay,ZA,1.0,2.4,0.2,57.9,0.1,220.3,0.1,18.7
mossoro,BR,1.3,4.7,0.3,39.3,0.1,263.7,0.1,9.6
mount isa,AU,5.2,11.3,0.1,44.7,1.6,267.0,0.3,3.2
mount pearl,CA,0.5,1.2,0.8,86.6,0.3,207.0,0.0,3.4
mucuri,BR,1.8,7.0,0.6,33.3,0.1,283.7,0.1,9.6
mumbwa,ZM,2.2,2.6,0.3,29.7,0.4,260.4,0.2,19.6
muravlenko,RU,0.9,0.9,0.2,41.1,0.0,233.6,0.0,17.4
mutuali,MZ,3.5,6.7,0.6,15.7,0.1,223.6,0.5,23.9
nabire,ID,0.5,0.6,0.0,6.2,0.0,198.6,0.0,20.4
nacala,MZ,2.0,4.7,0.3,57.2,0.2,230.3,0.3,23.9
nagqu,CN,2.1,3.2,0.4,80.1,0.1,161.9,4.4,26.6
namibe,AO,13.3,52.0,0.1,64.4,0.4,213.6,0.0,21.6
nantucket,US,0.7,1.5,0.6,105.9,0.6,210.3,0.1,5.7
nar'yan-mar,RU,0.5,0.6,0.4,40.0,0.0,223.6,0.0,17.4
naze,JP,2.6,9.7,0.4,85.8,0.5,191.9,0.0,5.1
nea alikarnassos,GR,2.2,9.3,0.6,93.0,0.8,212.0,0.3,9.8
nema,RU,1.1,1.2,2.3,17.0,0.0,233.6,0.1,17.4
nemuro,JP,5.1,8.6,0.9,94.4,0.7,250.3,0.1,5.1
new norfolk,AU,1.5,1.6,0.3,37.2,0.2,208.6,0.1,3.2
nikolayevsk-on-amure,RU,5.0,5.3,0.4,76.5,0.6,253.7,0.7,17.4
nong khae,TH,38.6,49.9,26.0,44.4,9.4,807.8,2.5,10.0
north platte,US,7.3,9.7,0.9,93.0,0.7,212.0,1.3,5.7
northam,GB,1.2,4.6,0.3,78.0,0.3,212.0,0.0,5.8
nova vicosa,BR,1.6,7.0,0.4,38.3,0.1,293.7,0.1,9.6
novi di modena,IT,6.7,7.2,3.1,53.6,0.4,240.3,2.1,6.1
noyabrsk,RU,2.0,2.0,1.9,36.5,0.4,240.3,0.0,17.4
okha,RU,7.7,8.2,0.2,76.5,0.7,283.7,1.4,17.4
okhotsk,RU,0.5,0.5,0.1,47.2,0.0,240.3,0.0,17.4
ola,RU,0.5,0.8,0.1,65.8,0.1,237.0,0.0,17.4
oromocto,CA,0.6,0.7,1.9,46.5,0.1,213.6,0.0,3.4
pacific grove,US,1.5,4.0,5.3,56.5,0.7,233.6,0.3,5.7
paharpur,PK,58.8,89.4,3.8,70.8,5.4,574.1,26.4,39.1
palu,ID,1.5,2.0,3.1,35.4,2.6,327.1,0.5,20.4
papatowai,NZ,0.8,1.3,0.2,47.9,0.1,212.0,1.8,4.3
pemangkat,ID,4.4,5.4,0.5,40.8,0.3,360.5,0.4,20.4
petropavlovsk-kamchatsky,RU,0.5,0.6,0.1,65.8,0.0,217.0,0.0,17.4
phalaborwa,ZA,2.1,4.0,1.1,20.2,1.1,227.0,1.6,18.7
pierre,US,9.4,11.4,1.3,77.2,0.6,223.6,1.8,5.7
pimentel,PE,4.6,11.3,0.6,50.1,0.4,247.0,0.0,9.6
plastun,RU,8.1,12.3,0.4,83.7,0.7,230.3,0.0,17.4
ponta delgada,PT,1.3,6.0,0.3,98.7,0.2,198.6,0.0,4.7
pordic,FR,1.3,3.3,1.4,56.5,0.4,208.6,1.5,4.1
port alfred,ZA,1.8,5.3,0.6,54.4,0.6,223.6,0.4,18.7
port augusta,AU,0.5,0.8,0.1,54.4,0.1,280.4,0.1,3.2
port blair,IN,0.6,0.9,1.2,44.4,0.2,230.3,0.0,30.2
port douglas,AU,2.6,6.4,0.0,46.5,0.1,223.6,0.0,3.2
port elizabeth,ZA,1.0,2.0,0.6,58.6,0.8,227.0,0.3,18.7
port lincoln,AU,1.2,4.5,0.1,50.1,0.1,217.0,0.0,3.2
port mathurin,MU,0.9,4.3,0.0,76.5,0.2,247.0,0.0,9.9
port saint john's,ZA,4.3,10.4,0.7,62.2,0.6,237.0,0.4,18.7
porto san giorgio,IT,12.6,15.1,3.6,8.8,0.3,287.1,5.0,6.1
prado,BR,1.6,6.5,0.5,32.9,0.1,290.4,0.2,9.6
praia da vitoria,PT,1.9,8.6,0.3,94.4,0.2,198.6,0.0,4.7
puerto ayacucho,VE,3.7,3.8,4.3,8.2,0.2,440.6,0.4,12.8
puerto ayora,EC,2.8,8.6,0.5,36.1,0.1,280.4,0.1,8.5
puerto aysen,CL,0.5,0.6,0.2,34.0,0.0,212.0,0.0,7.4
puerto baquerizo moreno,EC,2.9,9.5,0.1,40.8,0.2,283.7,0.0,8.5
puerto carreno,CO,2.0,2.0,3.1,10.3,0.2,347.1,0.8,8.9
puerto deseado,AR,0.8,1.6,0.4,51.5,0.0,243.7,0.6,10.7
puerto natales,CL,0.5,0.5,0.3,42.9,0.0,247.0,0.6,7.4
punta arenas,CL,0.5,0.5,0.2,41.1,0.0,227.0,0.3,7.4
pyhajarvi,FI,3.0,3.6,0.7,69.4,0.5,220.3,0.0,3.5
qingdao,CN,25.4,29.5,13.2,100.1,14.2,447.3,1.2,26.6
qinhuangdao,CN,35.4,37.0,5.5,68.0,3.9,340.5,0.5,26.6
queenstown,ZA,12.5,18.9,2.9,27.9,0.8,247.0,2.0,18.7
quellon,CL,0.7,1.2,0.1,30.4,0.0,217.0,0.3,7.4
rabo de peixe,PT,1.2,5.5,0.4,94.4,0.3,198.6,0.0,4.7
raja,SS,0.6,0.8,0.1,1.6,0.0,165.2,0.2,14.7
rawson,AR,0.9,3.5,1.5,42.6,0.1,253.7,1.6,10.7
ribeira grande,PT,2.3,12.2,0.2,104.4,0.2,198.6,0.0,4.7
safi,MA,4.6,10.4,2.0,62.9,4.6,208.6,0.0,19.9
saint john,CA,0.6,0.9,2.5,30.8,0.1,198.6,0.2,3.4
saint-flour,FR,0.5,0.5,1.0,43.6,0.0,186.9,0.4,4.1
saldanha,ZA,0.9,4.0,0.3,62.9,0.5,230.3,0.0,18.7
salinopolis,BR,2.0,9.2,0.0,46.5,0.1,420.6,0.1,9.6
salmon arm,CA,0.5,0.8,2.8,46.5,0.4,223.6,1.3,3.4
samamiya,NG,22.6,60.2,1.7,15.4,0.2,400.5,2.6,29.6
san antonio de pale,GQ,1.9,5.2,0.0,25.8,0.1,373.8,0.0,20.6
san felipe,VE,38.1,39.0,16.6,30.0,8.1,754.4,0.9,12.8
san luis de la loma,MX,9.3,10.4,1.3,18.2,0.1,196.9,0.6,10.7
san patricio,US,3.4,7.1,0.9,87.3,0.5,213.6,0.7,5.7
san rafael,AR,1.0,3.9,0.6,44.0,0.1,220.3,0.6,10.7
santa cruz,BO,20.8,21.7,6.4,25.0,0.5,1321.8,1.3,18.7
santa sylvina,AR,3.2,3.2,0.8,30.8,0.1,303.8,0.2,10.7
santyoku,KR,3.6,7.6,11.8,83.7,7.6,243.7,0.2,7.8
sao joao da barra,BR,5.2,14.0,4.4,24.3,1.8,310.4,0.6,9.6
sao jose da coroa grande,BR,1.6,6.1,1.0,42.2,0.2,293.7,0.3,9.6
sarina,AU,2.0,7.6,0.1,59.4,0.2,223.6,0.0,3.2
savanna-la-mar,JM,7.3,8.6,9.8,15.9,3.1,614.2,2.5,7.1
shendi,SD,58.6,241.4,0.3,61.5,0.7,188.6,0.2,24.8
shenkursk,RU,0.7,0.8,0.8,53.6,0.0,223.6,0.0,17.4
sidney,AU,10.4,11.2,10.7,85.8,10.4,283.7,1.1,3.2
silifke,TR,0.8,1.2,1.5,73.7,0.9,220.3,1.2,13.9
simpang,ID,23.0,26.7,0.6,48.6,0.8,417.2,0.7,20.4
sinabang,ID,0.6,0.7,0.5,26.8,0.2,267.0,0.5,20.4
sirte,LY,7.4,26.6,0.2,107.3,0.6,205.3,0.0,17.6
sitka,US,0.6,0.8,0.4,77.2,0.3,217.0,0.0,5.7
smithers,CA,0.5,0.6,1.9,40.8,0.3,227.0,0.2,3.4
soe,ID,3.4,5.6,1.0,52.2,0.3,310.4,1.4,20.4
sol'-iletsk,RU,11.5,27.0,3.3,42.6,3.2,250.3,0.2,17.4
solleftea,SE,1.9,1.9,0.6,56.5,0.1,217.0,0.0,3.7
st. john's,CA,0.5,1.2,0.8,86.6,0.3,207.0,0.0,3.4
stanley,GB,0.5,0.8,2.9,35.8,0.4,198.6,0.8,5.8
sterling,US,4.2,4.9,10.2,50.8,0.4,273.7,1.0,5.7
susuman,RU,0.5,0.5,0.0,46.5,0.0,223.6,0.0,17.4
svetlyy yar,RU,3.7,4.0,1.4,65.1,0.5,223.6,0.1,17.4
talitsa,RU,10.7,14.3,11.5,29.0,5.5,287.1,0.1,17.4
talnakh,RU,0.5,0.6,0.6,72.2,3.5,253.7,0.0,17.4
tamandare,BR,2.7,7.8,2.8,39.3,0.3,333.8,0.6,9.6
tanjung pinang,ID,15.8,17.3,0.8,98.7,0.8,567.4,0.5,20.4
taoudenni,ML,49.4,211.9,0.0,43.3,0.0,198.6,0.0,24.3
tarfaya,MA,4.8,25.6,0.2,85.1,0.4,201.9,0.0,19.9
tarija,BO,6.9,7.2,1.5,59.4,0.4,714.3,0.5,18.7
tazacorte,ES,3.1,15.3,0.2,89.4,0.3,195.3,0.0,4.2
tazovsky,RU,0.5,1.6,0.2,65.1,0.0,230.3,0.0,17.4
tegina,NG,7.2,9.5,0.5,15.4,0.0,507.4,0.5,29.6
thinadhoo,MV,1.9,9.7,0.0,47.9,0.1,223.6,0.0,11.0
thompson,CA,2.6,2.7,0.6,34.0,0.2,212.0,0.1,3.4
tiksi,RU,0.5,0.5,0.0,86.6,0.0,240.3,0.0,17.4
tobelo,ID,0.5,0.6,0.2,11.4,0.0,220.3,0.1,20.4
tolanaro,MG,1.5,3.7,0.2,38.6,0.1,227.0,0.2,21.1
toliara,MG,4.0,5.7,0.4,37.6,0.1,260.4,0.9,21.1
tommot,RU,0.5,0.5,0.2,47.9,0.0,227.0,0.0,17.4
tonghae,KR,3.6,7.6,11.8,83.7,7.6,243.7,0.2,7.8
tongouson,PH,1.2,1.3,0.4,25.0,0.1,340.5,0.2,29.4
tonj,SS,1.2,2.1,0.6,1.0,0.0,223.6,0.4,14.7
trairi,BR,1.8,7.4,0.2,51.5,0.1,363.8,0.1,9.6
tralee,IE,1.7,3.3,0.5,85.8,0.3,205.3,0.3,5.5
tura,IN,65.5,71.1,2.2,39.0,0.9,520.7,2.5,30.2
ubinskoye,RU,5.6,6.1,2.4,26.1,0.5,243.7,0.8,17.4
udachny,RU,0.5,0.5,0.1,53.6,0.1,223.6,0.0,17.4
umm kaddadah,SD,62.3,251.6,0.1,55.1,0.3,175.2,0.0,24.8
ushuaia,AR,0.5,2.9,0.4,27.5,0.1,213.6,0.2,10.7
