Country,Year,MortalityRate_per_100k
PRK,2019,20.83174
EMR,2019,0.09804
145,2019,0.14094
150,2019,0.41989
UNSDG_WESTERNASIANORTHERNAFR,2019,0.06704
UNSDG_OCEANIAexAUSNZL,2019,0.01737
WSM,2019,1.66467
AMR,2019,0.11616
PNG,2019,15.7807
UNSDG_CENTRALASIASOUTHERNASIA,2019,2.09347
BTN,2019,6.67028
UNSDG_LAC,2019,0.24493
34,2019,0.11384
UNSDG_AUSTRALIANEWZEALAND,2019,0.01747
PER,2019,1.2216
419,2019,0.61052
9,2019,0.07839
EUR,2019,0.11118
LCA,2019,12.40623
150,2019,0.00328
UNSDG_LAC,2019,4.73013
UNSDG_SUBSAHARANAFRICA,2019,0.06352
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,0.0842
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,0.05648
BTN,2019,24.46469
35,2019,0.19249
419,2019,0.09786
35,2019,1.96006
CYP,2019,3.83736
WPR,2019,0.04105
SSD,2019,22.42857
GRC,2019,4.74023
21,2019,0.04179
15,2019,0.10834
MKD,2019,38.96168
21,2019,3.14862
MKD,2019,2.0851
WPR,2019,0.03245
PER,2019,3.63398
34,2019,0.88241
AMR,2019,0.21762
9,2019,0.01397
30,2019,31.78496
UNSDG_EUROPENORTHERNAMR,2019,0.0114
WB_HI,2019,1.54792
UNSDG_AUSTRALIANEWZEALAND,2019,0.69016
145,2019,0.02109
EMR,2019,0.5377
DJI,2019,12.73973
9,2019,0.09607
DNK,2019,2.56657
IRL,2019,20.86739
JAM,2019,2.01254
202,2019,0.17065
GLOBAL,2019,0.22388
SEAR,2019,0.05652
ESP,2019,32.38993
15,2019,0.07475
UGA,2019,3.94786
CZE,2019,77.26456
UNSDG_OCEANIAexAUSNZL,2019,0.41561
UNSDG_SUBSAHARANAFRICA,2019,0.82149
150,2019,0.39661
MLT,2019,3.98087
UNSDG_LAC,2019,0.03217
SVN,2019,2.01562
MLI,2019,2.25577
EMR,2019,1.35864
21,2019,0.08702
WB_LIMI,2019,8.76983
SWZ,2019,0.12567
UNSDG_LAC,2019,0.00238
30,2019,1.11827
BOL,2019,21.26386
CUB,2019,56.18272
UNSDG_EUROPENORTHERNAMR,2019,0.00207
EMR,2019,0.34433
MNE,2019,45.20335
WB_HI,2019,0.0103
FRA,2019,4.91364
MMR,2019,51.49329
GLOBAL,2019,1.85648
15,2019,10.15248
AMR,2019,0.00147
WB_LIMI,2019,0.03532
21,2019,0.0495
UNSDG_CENTRALASIASOUTHERNASIA,2019,0.10121
EMR,2019,8.0067
143,2019,0.02918
UNSDG_SUBSAHARANAFRICA,2019,0.02378
WB_HI,2019,2.98882
AZE,2019,16.23554
KGZ,2019,3.91142
UNSDG_AUSTRALIANEWZEALAND,2019,1.0232
SEAR,2019,0.07345
STP,2019,6.9654
202,2019,0.83757
150,2019,0.20326
VNM,2019,5.1757
EMR,2019,1.17413
SEAR,2019,4.09747
BEN,2019,7.77219
TKM,2019,11.33028
MEX,2019,16.05878
GLOBAL,2019,0.06595
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,0.48182
GLOBAL,2019,0.04601
MRT,2019,4.97254
15,2019,0.0799
AFR,2019,0.54722
UNSDG_WESTERNASIANORTHERNAFR,2019,0.09781
419,2019,0.13589
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,0.02937
30,2019,4.00676
BTN,2019,5.03561
UNSDG_AUSTRALIANEWZEALAND,2019,0.00068
SEN,2019,9.50715
BEL,2019,42.31969
JAM,2019,11.56917
BLZ,2019,14.04769
KAZ,2019,39.65915
LSO,2019,13.90112
CYP,2019,4.74817
UNSDG_EUROPENORTHERNAMR,2019,1.16294
UNSDG_OCEANIAexAUSNZL,2019,0.04467
GLOBAL,2019,2.87634
UNSDG_LAC,2019,0.01895
UNSDG_OCEANIAexAUSNZL,2019,0.60324
PAN,2019,1.6283
UNSDG_OCEANIAexAUSNZL,2019,0.31386
UNSDG_AUSTRALIANEWZEALAND,2019,0.33081
UNSDG_SUBSAHARANAFRICA,2019,0.02286
BLZ,2019,0.34223
WB_LIMI,2019,2.91404
IRN,2019,0.66641
PRT,2019,2.28995
UNSDG_OCEANIAexAUSNZL,2019,0.20547
MKD,2019,5.71109
21,2019,1.29441
15,2019,0.00843
EMR,2019,1.45652
419,2019,0.01866
35,2019,0.0285
UNSDG_OCEANIAexAUSNZL,2019,0.06851
UNSDG_EUROPENORTHERNAMR,2019,0.17448
UNSDG_SUBSAHARANAFRICA,2019,0.02595
UNSDG_EUROPENORTHERNAMR,2019,0.1227
WB_HI,2019,3.57229
AMR,2019,0.01488
UNSDG_EUROPENORTHERNAMR,2019,2.16468
UNSDG_AUSTRALIANEWZEALAND,2019,0.88966
UNSDG_EASTERNASIASOUTHEASTERNASIA,2019,0.01379
UNSDG_SUBSAHARANAFRICA,2019,0.77634
BGR,2019,102.74429
15,2019,0.0746
UNSDG_EUROPENORTHERNAMR,2019,0.05575
ALB,2019,3.35137
MNG,2019,26.77809
WB_HI,2019,0.00792
WPR,2019,0.01605
TON,2019,2.06647
202,2019,0.00184
GTM,2019,25.8457
145,2019,0.10116
UNSDG_SUBSAHARANAFRICA,2019,0.08345
KHM,2019,10.56938
