Country,Year,MortalityRate_per_100k
TUR,2012,7.782
JPN,2010,12.862
ISR,2019,2.291
PRT,2016,1.966
CIV,2015,0.238
ZWE,2012,17.866
SLE,2011,107.636
BRB,2018,5.148
FJI,2016,1.86
SYR,2013,57.003
CHE,2018,0.836
THA,2019,5.191
MEX,2014,0.649
AMR,2018,0.76
GEO,2018,43.392
GUY,2011,2.466
CHL,2010,0.895
JAM,2017,8.234
PRK,2011,7.907
ZMB,2019,15.849
KAZ,2018,3.082
RWA,2010,19.445
BHR,2011,52.917
AGO,2015,12.829
GUY,2019,0.162
PAK,2018,0.537
PNG,2019,18.852
KOR,2016,5.651
STP,2015,9.514
ARE,2010,84.644
HTI,2016,14.021
GTM,2010,18.041
TTO,2017,5.557
RUS,2012,1.04
MMR,2014,31.669
PHL,2017,6.891
SYC,2017,1.696
FIN,2019,1.153
IRQ,2015,22.979
COD,2014,0.286
SVK,2013,0.807
TUR,2015,2.971
MAR,2016,1.12
BTN,2010,10.008
PNG,2011,5.965
SLV,2019,0.528
MNG,2019,2.737
VUT,2018,58.925
NER,2019,21.775
SRB,2014,14.813
GUY,2019,12.705
ITA,2019,0.777
KAZ,2013,74.885
SLE,2011,5.875
GLOBAL,2014,14.95
ITA,2010,11.459
AZE,2011,5.384
GRD,2011,0.609
PNG,2015,3.816
WPR,2016,24.474
ETH,2010,0.311
RUS,2014,54.595
BRN,2016,3.688
ISR,2010,1.762
EMR,2018,78.879
PER,2017,1.146
UKR,2015,0.586
SVN,2017,1.351
NER,2013,43.481
BRA,2010,1.317
BFA,2010,21.32
PNG,2019,6.552
QAT,2014,7.071
EST,2013,0.487
MDV,2012,22.128
CAF,2013,38.317
BDI,2010,75.844
DEU,2019,0.89
PNG,2013,7.706
MOZ,2013,0.17
MWI,2012,53.598
MDA,2014,98.573
GTM,2010,7.399
CZE,2013,43.393
GUY,2018,13.604
BDI,2011,18.893
SDN,2018,0.17
PAK,2014,23.748
CYP,2013,2.398
AFG,2013,26.151
SAU,2017,21.144
LKA,2011,5.77
RUS,2014,3.638
NLD,2011,2.604
SYR,2011,9.853
BDI,2018,16.802
BRB,2019,10.638
ISL,2017,0.346
GAB,2014,1.312
SLE,2013,35.927
AUT,2012,18.531
USA,2015,1.118
SOM,2011,88.05
AZE,2015,4.532
NIC,2010,0.935
MLT,2016,2.832
ARG,2016,5.35
AUS,2013,0.693
COD,2018,83.339
BHS,2018,0.303
AUT,2015,2.594
QAT,2017,16.022
BGR,2015,14.845
NAM,2016,12.343
AZE,2012,2.896
BEN,2018,25.364
ALB,2015,1.933
NGA,2017,0.378
CPV,2017,24.535
UGA,2016,19.68
PAN,2016,1.84
ECU,2013,6.893
FIN,2017,8.547
POL,2013,27.626
GTM,2016,16.454
UKR,2010,1.846
MRT,2012,70.039
BLR,2012,1.626
HTI,2017,14.118
MWI,2013,5.262
BWA,2013,17.083
VNM,2017,5.414
KGZ,2013,1.079
AFG,2016,0.786
CRI,2018,1.833
GRD,2019,21.963
SDN,2019,4.313
GIN,2015,29.87
PRK,2013,41.418
BOL,2016,56.674
FSM,2010,10.16
MOZ,2011,3.572
TUR,2015,25.478
PRT,2010,4.599
TJK,2015,17.351
KGZ,2017,23.118
SRB,2012,22.81
NOR,2016,0.905
URY,2014,1.725
SUR,2019,11.142
RUS,2014,77.158
LAO,2014,23.997
TUR,2016,40.873
LBY,2018,9.186
GRC,2019,3.598
PNG,2012,3.64
MKD,2016,5.829
TLS,2012,13.238
VUT,2013,37.043
DOM,2015,0.292
DNK,2016,1.332
FSM,2018,0.838
NZL,2019,0.75
KWT,2018,59.006
AGO,2018,19.686
GUY,2013,36.7
NIC,2018,2.462
USA,2018,0.766
SAU,2010,25.123
STP,2016,0.987
ATG,2011,13.3
FIN,2014,6.813
GTM,2011,0.582
ZAF,2012,4.85
URY,2010,2.07
HTI,2013,0.271
SVK,2011,6.848
HND,2010,0.669
SYC,2010,1.385
ECU,2019,19.054
VNM,2014,36.458
ISR,2018,2.043
ITA,2014,3.6
NER,2018,34.645
SLV,2011,0.61
IRQ,2012,0.728
BDI,2019,20.073
GNB,2015,37.049
BWA,2014,61.515
NOR,2018,8.22
MEX,2017,3.348
PHL,2016,12.049
